NUMERO_APROVACAO_CARTAO|PARCELAS_CARTAO|TICKET|DATA_VENDA|DESC_TIPO_PGTO|ADQUIRENTE|FORMA_PAGAMENTO|NOME_LOJA|FRANQUIA|PRACA|CIDADE|VALOR_BRUTO|VALOR_LIQUIDO|PORCENTAGEM
80042|7|64044|2023-02-25|Venda|PixPay|DEBITO A VISTA|Pet Paradise|PrimeZone|Litoral Norte|Fortaleza|450,98|442,24|1,94
59225|2|62692|2023-12-01|Venda|OnlinePay|DEBITO PARCELADO|Gourmet Haven|UrbanBlend|Interior de São Paulo|Campinas|2.282,05|2.253,75|1,24
46381|7|48922|2023-08-13|Venda|PagTudo|DEBITO A VISTA|Cosmo Trends|InovaStore|Capital|Rio de Janeiro|1.486,15|1.459,88|1,77
75537|10|45036|2022-03-02|Venda|PagTudo|DEBITO A VISTA|DigiNation|PrimeZone|Interior de São Paulo|Fortaleza|378,37|373,19|1,37
54707|8|64119|2022-10-28|Venda|PixPay|DEBITO PARCELADO|Pet Paradise|EcoMart|Litoral Norte|Recife|1.317,59|1.300,86|1,27
32967|11|75471|2022-02-08|Venda|PagTudo|DEBITO PARCELADO|Golden Harvest|EcoMart|Interior de São Paulo|Belo Horizonte|1.084,76|1.057,69|2,50
15478|2|17180|2022-01-09|Venda|CartaoMais|DEBITO A VISTA|Magia Fashion|PrimeZone|Serra Gaúcha|Belo Horizonte|404,85|397,79|1,74
77275|2|41542|2023-04-18|Venda|PagTudo|PIX|Sportify|PrimeZone|Interior de São Paulo|Recife|1.151,43|1.131,26|1,75
80406|12|28157|2023-06-04|Venda|OnlinePay|DEBITO A VISTA|DigiNation|PrimeZone|Serra Gaúcha|Belo Horizonte|1.546,62|1.505,30|2,67
69166|11|68498|2024-01-14|Venda|SuperPay|DEBITO PARCELADO|Green Valley|EcoMart|Litoral Norte|Rio de Janeiro|623,62|609,29|2,30
87353|7|83154|2023-07-21|Venda|SuperPay|DEBITO A VISTA|Gourmet Haven|EcoMart|Capital|Salvador|948,98|929,88|2,01
11048|9|72319|2023-12-10|Venda|PixPay|CREDITO|TechHub|InovaStore|Litoral Norte|Fortaleza|1.871,62|1.818,25|2,85
29682|9|93489|2023-10-30|Venda|PagTudo|CREDITO|TechHub|UrbanBlend|Interior de São Paulo|Rio de Janeiro|1.210,28|1.175,33|2,89
76527|6|40932|2023-06-21|Venda|CartaoMais|CREDITO|Sportify|PrimeZone|Serra Gaúcha|Salvador|1.836,39|1.817,77|1,01
86010|3|22308|2023-11-02|Venda|PixPay|DEBITO A VISTA|Gourmet Haven|UrbanBlend|Capital|Recife|584,95|574,50|1,79
34651|11|93506|2022-07-14|Venda|SuperPay|DEBITO PARCELADO|Pet Paradise|UrbanBlend|Litoral Norte|Campinas|409,81|404,57|1,28
69459|7|58171|2022-10-01|Venda|OnlinePay|CREDITO|Cosmo Trends|EcoMart|Serra Gaúcha|Porto Alegre|762,75|754,86|1,03
12168|2|52859|2023-06-19|Venda|PixPay|PIX|Magia Fashion|UrbanBlend|Capital|Rio de Janeiro|647,81|639,27|1,32
68473|2|91457|2023-05-17|Venda|SuperPay|PIX|Golden Harvest|UrbanBlend|Capital|Rio de Janeiro|1.922,01|1.884,21|1,97
38063|8|39635|2023-05-02|Venda|OnlinePay|DEBITO A VISTA|Gourmet Haven|EcoMart|Interior de São Paulo|Recife|415,78|411,11|1,12
42245|1|99868|2022-06-15|Venda|PagTudo|DEBITO PARCELADO|Gourmet Haven|UrbanBlend|Interior de São Paulo|Porto Alegre|1.928,91|1.886,77|2,18
15512|8|66164|2022-05-25|Venda|OnlinePay|CREDITO|DigiNation|InovaStore|Serra Gaúcha|Campinas|258,66|254,57|1,58
27866|4|92673|2022-01-21|Venda|CartaoMais|DEBITO A VISTA|Vintage Charm|EcoMart|Serra Gaúcha|Brasília|1.595,84|1.555,48|2,53
65443|5|52799|2023-12-19|Venda|PagTudo|DEBITO A VISTA|Gourmet Haven|PrimeZone|Capital|Brasília|1.499,56|1.476,00|1,57
56919|9|13144|2022-07-12|Venda|OnlinePay|PIX|Magia Fashion|UrbanBlend|Interior de São Paulo|Brasília|1.618,88|1.587,56|1,93
10739|5|46282|2023-06-03|Venda|OnlinePay|PIX|TechHub|PrimeZone|Capital|Salvador|1.383,46|1.358,93|1,77
95643|1|70947|2022-09-23|Venda|PagTudo|DEBITO PARCELADO|Magia Fashion|InovaStore|Serra Gaúcha|Porto Alegre|654,10|634,63|2,98
77024|1|67398|2023-10-04|Venda|OnlinePay|DEBITO A VISTA|DigiNation|UrbanBlend|Capital|Campinas|2.135,46|2.105,59|1,40
99376|11|37341|2022-05-07|Venda|PixPay|CREDITO|Sportify|PrimeZone|Serra Gaúcha|Recife|474,96|462,85|2,55
56486|5|22290|2022-10-13|Venda|SuperPay|CREDITO|Golden Harvest|PrimeZone|Serra Gaúcha|Fortaleza|1.386,10|1.362,93|1,67
54391|10|94170|2022-01-24|Venda|OnlinePay|DEBITO PARCELADO|TechHub|UrbanBlend|Litoral Norte|Recife|2.080,12|2.057,12|1,11
47055|9|88789|2022-09-30|Venda|OnlinePay|PIX|Pet Paradise|EcoMart|Litoral Norte|Curitiba|400,74|396,13|1,15
81712|12|72354|2022-03-01|Venda|CartaoMais|DEBITO PARCELADO|Green Valley|UrbanBlend|Litoral Norte|Rio de Janeiro|1.030,24|1.012,95|1,68
50890|9|86080|2022-10-07|Venda|SuperPay|DEBITO PARCELADO|DigiNation|EcoMart|Interior de São Paulo|Salvador|1.669,53|1.641,86|1,66
11176|10|47965|2023-10-06|Venda|SuperPay|DEBITO PARCELADO|TechHub|InovaStore|Capital|Porto Alegre|1.260,79|1.232,06|2,28
39522|4|11573|2023-08-08|Venda|SuperPay|CREDITO|Gourmet Haven|EcoMart|Serra Gaúcha|Brasília|1.148,22|1.126,83|1,86
64753|11|66741|2023-02-19|Venda|PixPay|DEBITO PARCELADO|Sportify|PrimeZone|Litoral Norte|Salvador|1.046,26|1.016,41|2,85
10923|7|76162|2022-04-03|Venda|SuperPay|DEBITO A VISTA|Green Valley|PrimeZone|Litoral Norte|Rio de Janeiro|411,98|406,21|1,40
63955|2|43793|2022-03-19|Venda|CartaoMais|DEBITO PARCELADO|Green Valley|UrbanBlend|Interior de São Paulo|Rio de Janeiro|1.467,85|1.448,44|1,32
11940|9|39406|2022-07-21|Venda|CartaoMais|CREDITO|Vintage Charm|UrbanBlend|Capital|Belo Horizonte|1.154,68|1.135,19|1,69
13057|9|37556|2022-05-10|Venda|SuperPay|DEBITO A VISTA|Green Valley|EcoMart|Interior de São Paulo|São Paulo|1.914,16|1.890,48|1,24
24754|2|94773|2022-05-24|Venda|OnlinePay|CREDITO|Cosmo Trends|UrbanBlend|Litoral Norte|Curitiba|1.286,67|1.263,45|1,80
16708|7|83030|2023-06-11|Venda|CartaoMais|CREDITO|TechHub|InovaStore|Interior de São Paulo|Belo Horizonte|1.906,89|1.881,38|1,34
91289|2|77016|2022-09-29|Venda|OnlinePay|PIX|Cosmo Trends|EcoMart|Capital|Recife|720,89|704,41|2,29
77370|11|54653|2022-10-09|Venda|PagTudo|PIX|Cosmo Trends|UrbanBlend|Litoral Norte|Salvador|419,27|412,30|1,66
31390|2|10864|2024-01-13|Venda|CartaoMais|PIX|DigiNation|InovaStore|Serra Gaúcha|Salvador|1.268,30|1.252,33|1,26
40881|8|15037|2022-01-04|Venda|OnlinePay|DEBITO A VISTA|DigiNation|EcoMart|Interior de São Paulo|Fortaleza|1.523,43|1.505,97|1,15
34267|1|57357|2023-01-08|Venda|SuperPay|PIX|Green Valley|UrbanBlend|Litoral Norte|Fortaleza|358,46|353,40|1,41
51164|11|33933|2023-09-23|Venda|OnlinePay|DEBITO PARCELADO|Vintage Charm|PrimeZone|Capital|Recife|1.172,27|1.148,30|2,04
12158|8|70659|2023-09-20|Venda|SuperPay|DEBITO A VISTA|Golden Harvest|PrimeZone|Capital|Curitiba|1.704,73|1.675,40|1,72
23657|7|52950|2023-02-28|Venda|SuperPay|DEBITO A VISTA|TechHub|PrimeZone|Serra Gaúcha|Belo Horizonte|2.279,50|2.216,73|2,75
64758|5|60049|2023-03-10|Venda|PagTudo|DEBITO A VISTA|Vintage Charm|PrimeZone|Capital|Porto Alegre|644,53|629,77|2,29
98540|12|19566|2024-01-20|Venda|OnlinePay|DEBITO A VISTA|TechHub|PrimeZone|Serra Gaúcha|Porto Alegre|1.680,36|1.634,30|2,74
39908|8|33705|2023-03-09|Venda|SuperPay|DEBITO A VISTA|Magia Fashion|EcoMart|Interior de São Paulo|Curitiba|1.863,91|1.843,26|1,11
29820|2|62864|2022-03-07|Venda|PixPay|PIX|Pet Paradise|PrimeZone|Interior de São Paulo|Fortaleza|1.149,05|1.134,51|1,27
56639|10|54191|2023-12-14|Venda|CartaoMais|DEBITO PARCELADO|Green Valley|EcoMart|Serra Gaúcha|Brasília|1.613,94|1.570,78|2,67
78109|1|77920|2022-10-22|Venda|OnlinePay|CREDITO|Vintage Charm|UrbanBlend|Interior de São Paulo|Recife|1.542,39|1.517,76|1,60
46836|1|25245|2023-12-13|Venda|PixPay|DEBITO PARCELADO|Green Valley|PrimeZone|Capital|São Paulo|1.882,83|1.851,07|1,69
38494|7|63317|2023-04-22|Venda|PixPay|CREDITO|Sportify|EcoMart|Serra Gaúcha|Belo Horizonte|1.390,37|1.361,94|2,05
54479|8|12832|2022-03-30|Venda|PixPay|CREDITO|Magia Fashion|PrimeZone|Interior de São Paulo|Belo Horizonte|1.211,83|1.195,78|1,32
73660|6|82084|2022-09-24|Venda|CartaoMais|PIX|Golden Harvest|UrbanBlend|Litoral Norte|Porto Alegre|1.143,77|1.126,41|1,52
73055|12|42145|2023-12-22|Venda|CartaoMais|PIX|Green Valley|EcoMart|Capital|São Paulo|1.271,88|1.234,10|2,97
39218|12|11872|2022-10-27|Venda|CartaoMais|PIX|Pet Paradise|PrimeZone|Interior de São Paulo|Belo Horizonte|2.292,96|2.265,50|1,20
98016|6|40202|2023-07-26|Venda|PixPay|CREDITO|TechHub|InovaStore|Capital|Rio de Janeiro|600,59|583,53|2,84
63535|8|54642|2022-04-06|Venda|SuperPay|PIX|Vintage Charm|UrbanBlend|Capital|Curitiba|1.029,76|1.005,57|2,35
51885|4|17462|2022-10-27|Venda|CartaoMais|DEBITO A VISTA|Golden Harvest|InovaStore|Capital|Brasília|758,17|737,75|2,69
36933|10|60765|2022-08-14|Venda|CartaoMais|PIX|Vintage Charm|UrbanBlend|Serra Gaúcha|Curitiba|1.632,43|1.594,87|2,30
34015|6|62776|2023-12-20|Venda|CartaoMais|CREDITO|Golden Harvest|EcoMart|Litoral Norte|São Paulo|454,54|449,34|1,14
47601|5|84286|2024-01-10|Venda|SuperPay|DEBITO PARCELADO|Pet Paradise|InovaStore|Capital|Curitiba|1.515,54|1.481,93|2,22
54862|8|96056|2022-06-29|Venda|SuperPay|PIX|Vintage Charm|PrimeZone|Serra Gaúcha|Recife|2.090,17|2.041,20|2,34
41660|1|10169|2023-12-15|Venda|OnlinePay|PIX|Green Valley|InovaStore|Interior de São Paulo|Belo Horizonte|2.231,09|2.188,92|1,89
55896|3|57463|2022-01-06|Venda|PagTudo|PIX|TechHub|InovaStore|Interior de São Paulo|Porto Alegre|1.357,80|1.325,95|2,35
20983|3|12521|2023-08-17|Venda|PixPay|CREDITO|Sportify|PrimeZone|Capital|Fortaleza|1.937,43|1.911,16|1,36
63273|8|42857|2022-08-26|Venda|CartaoMais|DEBITO PARCELADO|Magia Fashion|InovaStore|Litoral Norte|Brasília|1.167,93|1.145,67|1,91
60320|11|89710|2023-06-09|Venda|PixPay|DEBITO PARCELADO|Cosmo Trends|PrimeZone|Interior de São Paulo|Porto Alegre|2.284,74|2.255,45|1,28
83250|10|79524|2022-04-05|Venda|SuperPay|CREDITO|TechHub|InovaStore|Capital|Recife|1.797,95|1.751,38|2,59
19767|3|20327|2022-06-23|Venda|CartaoMais|PIX|Pet Paradise|PrimeZone|Serra Gaúcha|Salvador|1.109,17|1.080,75|2,56
96279|1|51457|2022-11-17|Venda|SuperPay|DEBITO PARCELADO|Magia Fashion|UrbanBlend|Serra Gaúcha|Campinas|599,27|581,70|2,93
97502|11|51247|2022-04-20|Venda|SuperPay|DEBITO A VISTA|Green Valley|PrimeZone|Capital|Rio de Janeiro|1.392,09|1.364,35|1,99
60753|6|87688|2022-01-08|Venda|PagTudo|CREDITO|TechHub|PrimeZone|Serra Gaúcha|Rio de Janeiro|1.666,92|1.629,02|2,27
88318|2|75487|2022-02-24|Venda|CartaoMais|PIX|Gourmet Haven|InovaStore|Interior de São Paulo|Recife|1.613,97|1.594,84|1,19
10011|1|30918|2023-08-30|Venda|PixPay|DEBITO PARCELADO|Golden Harvest|PrimeZone|Litoral Norte|Belo Horizonte|2.218,18|2.185,42|1,48
26905|3|86964|2023-03-15|Venda|OnlinePay|DEBITO A VISTA|Gourmet Haven|EcoMart|Interior de São Paulo|Curitiba|326,89|320,13|2,07
87654|1|45501|2023-03-21|Venda|SuperPay|CREDITO|TechHub|PrimeZone|Interior de São Paulo|Curitiba|996,89|975,75|2,12
46461|5|12585|2022-06-11|Venda|PixPay|DEBITO PARCELADO|Magia Fashion|InovaStore|Capital|Fortaleza|1.682,72|1.654,71|1,66
74768|6|94466|2023-02-24|Venda|PixPay|DEBITO A VISTA|DigiNation|PrimeZone|Litoral Norte|Porto Alegre|660,90|647,90|1,97
34144|2|16942|2022-06-29|Venda|CartaoMais|PIX|Golden Harvest|EcoMart|Interior de São Paulo|Porto Alegre|857,96|848,62|1,09
43389|1|23202|2022-03-14|Venda|CartaoMais|DEBITO PARCELADO|Golden Harvest|InovaStore|Interior de São Paulo|Curitiba|823,32|800,76|2,74
27663|3|80139|2023-11-10|Venda|CartaoMais|PIX|Green Valley|InovaStore|Litoral Norte|Recife|471,40|461,41|2,12
77757|12|48475|2023-11-06|Venda|OnlinePay|DEBITO A VISTA|Gourmet Haven|InovaStore|Litoral Norte|Recife|334,37|330,26|1,23
47978|10|87924|2023-12-19|Venda|PixPay|DEBITO PARCELADO|DigiNation|EcoMart|Litoral Norte|Salvador|1.415,00|1.392,88|1,56
32318|8|17101|2023-12-12|Venda|CartaoMais|DEBITO PARCELADO|Pet Paradise|InovaStore|Capital|Recife|2.008,87|1.982,27|1,32
80886|11|33213|2023-05-29|Venda|OnlinePay|PIX|Vintage Charm|PrimeZone|Litoral Norte|Recife|1.697,09|1.663,86|1,96
65142|10|56848|2022-03-26|Venda|SuperPay|DEBITO A VISTA|Green Valley|UrbanBlend|Capital|São Paulo|466,75|461,52|1,12
82006|8|99108|2022-09-29|Venda|SuperPay|PIX|Gourmet Haven|UrbanBlend|Serra Gaúcha|Belo Horizonte|820,13|805,48|1,79
95723|6|15344|2024-01-08|Venda|PagTudo|CREDITO|Green Valley|PrimeZone|Capital|Belo Horizonte|2.234,57|2.184,93|2,22
78313|1|71846|2022-04-02|Venda|CartaoMais|DEBITO A VISTA|Sportify|PrimeZone|Litoral Norte|Porto Alegre|509,99|495,04|2,93
80418|4|46034|2023-02-05|Venda|SuperPay|DEBITO A VISTA|Vintage Charm|PrimeZone|Interior de São Paulo|Salvador|2.044,57|2.004,70|1,95
15428|7|65229|2023-06-25|Venda|PagTudo|DEBITO PARCELADO|Vintage Charm|PrimeZone|Litoral Norte|São Paulo|479,90|474,02|1,23
97851|2|74038|2023-07-08|Venda|PixPay|DEBITO A VISTA|Magia Fashion|InovaStore|Interior de São Paulo|Belo Horizonte|732,97|723,24|1,33
10623|4|79839|2023-07-19|Venda|PagTudo|DEBITO A VISTA|TechHub|EcoMart|Litoral Norte|Porto Alegre|688,45|680,63|1,14
13116|6|70969|2022-09-07|Venda|PagTudo|PIX|Golden Harvest|PrimeZone|Litoral Norte|Porto Alegre|719,20|705,27|1,94
47151|3|41532|2023-11-19|Venda|CartaoMais|DEBITO A VISTA|TechHub|UrbanBlend|Litoral Norte|Brasília|1.950,60|1.895,82|2,81
68126|11|38285|2022-11-19|Venda|SuperPay|CREDITO|Magia Fashion|UrbanBlend|Interior de São Paulo|Brasília|1.828,30|1.777,88|2,76
37771|3|57763|2022-10-07|Venda|SuperPay|PIX|TechHub|EcoMart|Serra Gaúcha|Rio de Janeiro|358,52|354,62|1,09
55118|9|39402|2023-09-29|Venda|PixPay|DEBITO PARCELADO|Pet Paradise|PrimeZone|Capital|Recife|1.286,34|1.267,61|1,46
32063|8|51803|2023-06-29|Venda|PagTudo|PIX|Cosmo Trends|EcoMart|Capital|Recife|733,18|722,67|1,43
70518|1|12726|2023-05-05|Venda|PagTudo|DEBITO A VISTA|Pet Paradise|PrimeZone|Capital|Campinas|1.112,98|1.089,66|2,10
69802|6|47247|2022-06-18|Venda|PixPay|CREDITO|Vintage Charm|UrbanBlend|Serra Gaúcha|Curitiba|1.831,12|1.801,09|1,64
23523|3|46340|2023-05-09|Venda|PixPay|CREDITO|Pet Paradise|UrbanBlend|Capital|Salvador|1.388,83|1.352,52|2,61
32867|10|70956|2022-03-26|Venda|PagTudo|DEBITO PARCELADO|Sportify|InovaStore|Capital|Rio de Janeiro|2.095,89|2.037,59|2,78
87405|7|36983|2023-05-31|Venda|PagTudo|DEBITO PARCELADO|TechHub|EcoMart|Litoral Norte|Curitiba|2.063,45|2.035,58|1,35
69786|9|10863|2023-07-02|Venda|PixPay|PIX|Vintage Charm|InovaStore|Capital|Campinas|773,52|761,91|1,50
32545|3|15265|2023-10-14|Venda|PagTudo|PIX|Sportify|EcoMart|Capital|Salvador|1.248,44|1.211,19|2,98
56132|4|38982|2023-08-04|Venda|CartaoMais|CREDITO|Golden Harvest|PrimeZone|Capital|São Paulo|1.581,19|1.551,23|1,89
76268|2|71281|2023-12-12|Venda|PixPay|PIX|Cosmo Trends|PrimeZone|Litoral Norte|Rio de Janeiro|926,03|909,28|1,81
63146|6|37695|2022-12-10|Venda|SuperPay|DEBITO PARCELADO|DigiNation|EcoMart|Interior de São Paulo|Fortaleza|388,94|383,54|1,39
30047|7|21497|2024-01-10|Venda|SuperPay|PIX|Gourmet Haven|UrbanBlend|Serra Gaúcha|Brasília|906,36|880,28|2,88
31942|5|59539|2023-04-16|Venda|PagTudo|CREDITO|Gourmet Haven|PrimeZone|Interior de São Paulo|Recife|2.034,71|2.008,57|1,28
56899|7|82022|2023-11-20|Venda|PagTudo|CREDITO|TechHub|PrimeZone|Litoral Norte|Porto Alegre|2.199,99|2.176,18|1,08
32771|6|21865|2023-04-20|Venda|OnlinePay|DEBITO PARCELADO|Vintage Charm|PrimeZone|Serra Gaúcha|Campinas|1.568,73|1.525,50|2,76
89757|11|68103|2024-01-21|Venda|PixPay|PIX|Cosmo Trends|PrimeZone|Interior de São Paulo|Porto Alegre|2.118,21|2.077,17|1,94
51725|6|52932|2023-12-08|Venda|PixPay|DEBITO A VISTA|Pet Paradise|UrbanBlend|Litoral Norte|Belo Horizonte|699,88|690,93|1,28
19529|6|12093|2022-06-12|Venda|CartaoMais|DEBITO PARCELADO|DigiNation|EcoMart|Serra Gaúcha|Campinas|1.489,80|1.464,69|1,69
68092|2|87971|2023-12-08|Venda|PixPay|DEBITO A VISTA|Cosmo Trends|PrimeZone|Interior de São Paulo|Rio de Janeiro|356,41|351,46|1,39
42831|3|59714|2022-10-05|Venda|PixPay|CREDITO|Sportify|UrbanBlend|Litoral Norte|Porto Alegre|491,32|477,97|2,72
28216|12|96948|2023-01-25|Venda|PixPay|DEBITO A VISTA|Green Valley|EcoMart|Interior de São Paulo|Brasília|1.660,36|1.628,19|1,94
13550|12|19767|2023-03-30|Venda|PagTudo|DEBITO A VISTA|DigiNation|InovaStore|Serra Gaúcha|Belo Horizonte|868,09|846,71|2,46
10483|10|14066|2022-06-20|Venda|CartaoMais|DEBITO A VISTA|Golden Harvest|PrimeZone|Interior de São Paulo|Recife|766,83|743,83|3,00
54203|11|14646|2023-08-09|Venda|SuperPay|PIX|Pet Paradise|PrimeZone|Serra Gaúcha|Campinas|827,07|818,46|1,04
87920|6|39960|2023-04-12|Venda|SuperPay|PIX|Vintage Charm|UrbanBlend|Serra Gaúcha|Campinas|758,37|742,34|2,11
48025|4|32492|2022-08-05|Venda|SuperPay|DEBITO PARCELADO|Golden Harvest|UrbanBlend|Capital|Brasília|330,75|327,02|1,13
96786|8|34541|2023-05-31|Venda|SuperPay|PIX|Cosmo Trends|UrbanBlend|Litoral Norte|São Paulo|285,25|279,82|1,90
36701|3|32102|2022-03-16|Venda|SuperPay|DEBITO A VISTA|Cosmo Trends|EcoMart|Litoral Norte|Fortaleza|1.824,85|1.796,84|1,54
38410|8|73011|2023-01-31|Venda|PixPay|DEBITO PARCELADO|Magia Fashion|PrimeZone|Interior de São Paulo|Curitiba|2.118,29|2.074,83|2,05
97793|11|35441|2023-08-21|Venda|SuperPay|DEBITO PARCELADO|TechHub|PrimeZone|Capital|Curitiba|555,70|541,43|2,57
43662|2|22970|2023-05-19|Venda|OnlinePay|DEBITO PARCELADO|Golden Harvest|EcoMart|Capital|São Paulo|2.114,69|2.092,42|1,05
59620|5|99425|2022-01-12|Venda|OnlinePay|DEBITO A VISTA|Magia Fashion|EcoMart|Serra Gaúcha|Fortaleza|1.285,59|1.269,80|1,23
15190|3|25886|2023-11-07|Venda|OnlinePay|DEBITO A VISTA|Cosmo Trends|UrbanBlend|Litoral Norte|Curitiba|1.610,21|1.587,86|1,39
12198|9|81434|2022-02-26|Venda|PagTudo|DEBITO A VISTA|Vintage Charm|PrimeZone|Serra Gaúcha|São Paulo|330,70|323,22|2,26
57618|7|79974|2022-05-27|Venda|SuperPay|DEBITO A VISTA|Cosmo Trends|PrimeZone|Interior de São Paulo|Belo Horizonte|1.278,74|1.257,89|1,63
42614|1|94178|2022-10-22|Venda|PagTudo|CREDITO|DigiNation|UrbanBlend|Interior de São Paulo|São Paulo|1.592,97|1.553,89|2,45
22386|2|97648|2022-12-27|Venda|OnlinePay|CREDITO|DigiNation|PrimeZone|Serra Gaúcha|Salvador|387,34|380,00|1,89
92528|8|56876|2022-05-10|Venda|SuperPay|PIX|Magia Fashion|UrbanBlend|Litoral Norte|Belo Horizonte|282,49|278,57|1,39
58838|4|74168|2023-12-24|Venda|SuperPay|DEBITO A VISTA|Golden Harvest|EcoMart|Capital|Recife|1.607,65|1.566,29|2,57
89900|8|92955|2023-04-29|Venda|PixPay|DEBITO A VISTA|Green Valley|PrimeZone|Litoral Norte|Belo Horizonte|1.642,51|1.600,28|2,57
82709|10|95471|2022-05-08|Venda|PagTudo|DEBITO A VISTA|Cosmo Trends|PrimeZone|Interior de São Paulo|Brasília|2.102,91|2.070,06|1,56
66757|8|80029|2022-02-17|Venda|PagTudo|PIX|Magia Fashion|EcoMart|Interior de São Paulo|Recife|501,53|494,68|1,37
39269|12|50844|2023-02-11|Venda|SuperPay|DEBITO PARCELADO|Gourmet Haven|UrbanBlend|Interior de São Paulo|Brasília|1.664,41|1.627,24|2,23
67513|2|25402|2022-04-01|Venda|PixPay|DEBITO A VISTA|Golden Harvest|PrimeZone|Litoral Norte|Salvador|1.453,59|1.419,71|2,33
31112|7|83299|2022-08-29|Venda|CartaoMais|CREDITO|Golden Harvest|UrbanBlend|Serra Gaúcha|Campinas|1.233,41|1.211,38|1,79
54519|7|56595|2022-09-20|Venda|SuperPay|DEBITO A VISTA|Magia Fashion|UrbanBlend|Serra Gaúcha|Porto Alegre|2.236,27|2.173,31|2,82
27420|6|46967|2022-02-23|Venda|SuperPay|PIX|Magia Fashion|EcoMart|Interior de São Paulo|São Paulo|1.919,52|1.864,47|2,87
22031|10|58836|2023-09-28|Venda|PagTudo|CREDITO|DigiNation|InovaStore|Serra Gaúcha|Campinas|797,65|778,08|2,45
42444|8|78487|2022-11-05|Venda|OnlinePay|CREDITO|Magia Fashion|UrbanBlend|Litoral Norte|São Paulo|1.670,48|1.625,89|2,67
71548|8|41045|2024-01-23|Venda|PixPay|DEBITO A VISTA|Sportify|EcoMart|Litoral Norte|Campinas|1.265,13|1.229,04|2,85
